Method 1,Method 2,p,Significance,Metric,Test Set
GATv2,XGBoost,0.001264,**,RMSE,19SC2
GCN,LightGBM,0.00E+00,***,RMSE,19SC2
GCN,MPNN,3.38E-14,***,RMSE,19SC2
GCN,XGBoost,0,***,RMSE,19SC2
LightGBM,MPNN,0.00E+00,***,RMSE,19SC2
LightGBM,XGBoost,0.011903,*,RMSE,19SC2
MPNN,XGBoost,0,***,RMSE,19SC2
1DCNN,1DCNN,,,R$^2$,19SC2
AttentiveFP,AttentiveFP,,,R$^2$,19SC2
GAT,GAT,,,R$^2$,19SC2
GATv2,GATv2,,,R$^2$,19SC2
GCN,GCN,,,R$^2$,19SC2
LightGBM,LightGBM,,,R$^2$,19SC2
MPNN,MPNN,,,R$^2$,19SC2
XGBoost,XGBoost,,,R$^2$,19SC2
1DCNN,AttentiveFP,7.57E-03,**,R$^2$,19SC2
1DCNN,GAT,8.34E-07,***,R$^2$,19SC2
1DCNN,GATv2,2.38E-05,***,R$^2$,19SC2
1DCNN,GCN,0.00E+00,***,R$^2$,19SC2
1DCNN,LightGBM,0,***,R$^2$,19SC2
1DCNN,MPNN,0.00E+00,***,R$^2$,19SC2
1DCNN,XGBoost,0,***,R$^2$,19SC2
AttentiveFP,GAT,1.00E+00,,R$^2$,19SC2
AttentiveFP,GATv2,7.68E-08,***,R$^2$,19SC2
AttentiveFP,GCN,3.17E-01,,R$^2$,19SC2
AttentiveFP,LightGBM,0,***,R$^2$,19SC2
AttentiveFP,MPNN,5.77E-14,***,R$^2$,19SC2
AttentiveFP,XGBoost,0,***,R$^2$,19SC2
GAT,GATv2,8.67E-09,***,R$^2$,19SC2
GAT,GCN,1.49E-01,,R$^2$,19SC2
GAT,LightGBM,0,***,R$^2$,19SC2
GAT,MPNN,8.88E-16,***,R$^2$,19SC2
GAT,XGBoost,0,***,R$^2$,19SC2
GATv2,GCN,1.75E-10,***,R$^2$,19SC2
GATv2,LightGBM,0.999999,,R$^2$,19SC2
GATv2,MPNN,0.00E+00,***,R$^2$,19SC2
GATv2,XGBoost,1,,R$^2$,19SC2
GCN,LightGBM,0,***,R$^2$,19SC2
GCN,MPNN,2.35E-13,***,R$^2$,19SC2
GCN,XGBoost,0,***,R$^2$,19SC2
LightGBM,MPNN,0.00E+00,***,R$^2$,19SC2
LightGBM,XGBoost,0.01165,*,R$^2$,19SC2
MPNN,XGBoost,0,***,R$^2$,19SC2
1DCNN,1DCNN,,,RMSE,08SC
AttentiveFP,AttentiveFP,,,RMSE,08SC
GAT,GAT,,,RMSE,08SC
GATv2,GATv2,,,RMSE,08SC
GCN,GCN,,,RMSE,08SC
LightGBM,LightGBM,,,RMSE,08SC
MPNN,MPNN,,,RMSE,08SC
XGBoost,XGBoost,,,RMSE,08SC
1DCNN,AttentiveFP,0.000168,***,RMSE,08SC
1DCNN,GAT,3.31E-11,***,RMSE,08SC
1DCNN,GATv2,0.00E+00,***,RMSE,08SC
1DCNN,GCN,1.95E-05,***,RMSE,08SC
1DCNN,LightGBM,0,***,RMSE,08SC
1DCNN,MPNN,3.73E-14,***,RMSE,08SC
1DCNN,XGBoost,4.83E-09,***,RMSE,08SC
AttentiveFP,GAT,1.58E-02,*,RMSE,08SC
AttentiveFP,GATv2,4.07E-02,*,RMSE,08SC
AttentiveFP,GCN,1.42E-01,,RMSE,08SC
AttentiveFP,LightGBM,0.000416,***,RMSE,08SC
AttentiveFP,MPNN,0.00E+00,***,RMSE,08SC
AttentiveFP,XGBoost,1.09E-01,,RMSE,08SC
GAT,GATv2,9.48E-01,,RMSE,08SC
GAT,GCN,1.24E-07,***,RMSE,08SC
GAT,LightGBM,1,,RMSE,08SC
GAT,MPNN,0.00E+00,***,RMSE,08SC
GAT,XGBoost,7.79E-08,***,RMSE,08SC
GATv2,GCN,6.67E-12,***,RMSE,08SC
GATv2,LightGBM,0.458381,,RMSE,08SC
GATv2,MPNN,0.00E+00,***,RMSE,08SC
GATv2,XGBoost,1.61E-12,***,RMSE,08SC
GCN,LightGBM,0,***,RMSE,08SC
GCN,MPNN,0.00E+00,***,RMSE,08SC
GCN,XGBoost,1.00E+00,,RMSE,08SC
LightGBM,MPNN,0.00E+00,***,RMSE,08SC
LightGBM,XGBoost,0.00E+00,***,RMSE,08SC
MPNN,XGBoost,0.00E+00,***,RMSE,08SC
